"gameID","home","away","OT","SO"
336,"Chicago Blackhawks","Florida Panthers",1,1
337,"Colorado Avalanche","Nashville Predators",0,0
338,"Edmonton Oilers","Toronto Maple Leafs",0,0
339,"Vancouver Canucks","Minnesota Wild",0,0
340,"Anaheim Ducks","Montréal Canadiens",0,0
341,"San Jose Sharks","Arizona Coyotes",1,0
342,"New York Islanders","Pittsburgh Penguins",0,0
343,"Calgary Flames","Toronto Maple Leafs",0,0
344,"Los Angeles Kings","San Jose Sharks",0,0
345,"Boston Bruins","Carolina Hurricanes",1,1
346,"Buffalo Sabres","New York Rangers",0,0
347,"Pittsburgh Penguins","Dallas Stars",0,0
348,"Washington Capitals","New York Islanders",0,0
349,"Ottawa Senators","Philadelphia Flyers",1,0
350,"Detroit Red Wings","Florida Panthers",1,0
351,"St. Louis Blues","Tampa Bay Lightning",0,0
352,"Winnipeg Jets","Edmonton Oilers",0,0
353,"Chicago Blackhawks","New Jersey Devils",1,0
354,"Colorado Avalanche","Columbus Blue Jackets",0,0
355,"Arizona Coyotes","Los Angeles Kings",0,0
356,"Vancouver Canucks","Anaheim Ducks",0,0
357,"Calgary Flames","Minnesota Wild",1,1
358,"San Jose Sharks","Montréal Canadiens",0,0
359,"Buffalo Sabres","Boston Bruins",0,0
360,"New York Rangers","Carolina Hurricanes",0,0
361,"Philadelphia Flyers","Chicago Blackhawks",0,0
362,"Nashville Predators","New Jersey Devils",1,0
363,"Ottawa Senators","Florida Panthers",0,0
364,"Tampa Bay Lightning","Washington Capitals",1,1
365,"Pittsburgh Penguins","Detroit Red Wings",0,0
366,"St. Louis Blues","Winnipeg Jets",1,0
367,"Vancouver Canucks","Toronto Maple Leafs",1,1
368,"Arizona Coyotes","Columbus Blue Jackets",1,1
369,"Colorado Avalanche","Dallas Stars",0,0
370,"Edmonton Oilers","Anaheim Ducks",1,0
371,"Carolina Hurricanes","Tampa Bay Lightning",1,0
372,"New York Islanders","Detroit Red Wings",1,0
373,"Nashville Predators","Philadelphia Flyers",0,0
374,"Chicago Blackhawks","Winnipeg Jets",0,0
375,"Calgary Flames","Anaheim Ducks",0,0
376,"Edmonton Oilers","Minnesota Wild",1,0
377,"Los Angeles Kings","Montréal Canadiens",1,1
378,"Boston Bruins","Florida Panthers",1,0
379,"Pittsburgh Penguins","Ottawa Senators",0,0
380,"Washington Capitals","Buffalo Sabres",1,0
381,"Columbus Blue Jackets","Arizona Coyotes",0,0
382,"Buffalo Sabres","Edmonton Oilers",1,0
383,"New Jersey Devils","Vancouver Canucks",0,0
384,"New York Islanders","New York Rangers",0,0
385,"Philadelphia Flyers","Florida Panthers",1,0
386,"St. Louis Blues","Montréal Canadiens",1,0
387,"Nashville Predators","Colorado Avalanche",0,0
388,"Winnipeg Jets","Detroit Red Wings",1,1
389,"Chicago Blackhawks","Arizona Coyotes",0,0
390,"Dallas Stars","Calgary Flames",0,0
391,"Toronto Maple Leafs","Minnesota Wild",0,0
392,"Washington Capitals","Boston Bruins",1,0
393,"Anaheim Ducks","Carolina Hurricanes",1,1
394,"San Jose Sharks","Ottawa Senators",0,0
395,"Boston Bruins","Colorado Avalanche",0,0
396,"New York Islanders","St. Louis Blues",0,0
397,"Philadelphia Flyers","Edmonton Oilers",0,0
398,"Montréal Canadiens","New Jersey Devils",0,0
399,"Tampa Bay Lightning","Vancouver Canucks",0,0
400,"Florida Panthers","Pittsburgh Penguins",0,0
401,"Winnipeg Jets","New York Rangers",0,0
402,"Dallas Stars","Nashville Predators",0,0
403,"Arizona Coyotes","Calgary Flames",1,0
404,"Los Angeles Kings","Carolina Hurricanes",0,0
405,"Buffalo Sabres","Washington Capitals",0,0
406,"Detroit Red Wings","Columbus Blue Jackets",0,0
407,"New Jersey Devils","St. Louis Blues",0,0
408,"Minnesota Wild","Edmonton Oilers",1,1
409,"Chicago Blackhawks","New York Rangers",1,0
410,"Anaheim Ducks","San Jose Sharks",0,0
411,"Philadelphia Flyers","Dallas Stars",0,0
412,"Los Angeles Kings","Ottawa Senators",0,0
413,"Boston Bruins","Toronto Maple Leafs",0,0
414,"Montréal Canadiens","Colorado Avalanche",0,0
415,"Tampa Bay Lightning","Pittsburgh Penguins",0,0
416,"Florida Panthers","Vancouver Canucks",0,0
417,"Columbus Blue Jackets","New York Islanders",0,0
418,"Arizona Coyotes","Nashville Predators",0,0
419,"Calgary Flames","Winnipeg Jets",0,0
420,"San Jose Sharks","Carolina Hurricanes",0,0
421,"Anaheim Ducks","Ottawa Senators",0,0
422,"Detroit Red Wings","Philadelphia Flyers",1,0
423,"Washington Capitals","Vancouver Canucks",0,0
424,"Minnesota Wild","St. Louis Blues",0,0
425,"Toronto Maple Leafs","Colorado Avalanche",0,0
426,"New York Rangers","New Jersey Devils",0,0
427,"Chicago Blackhawks","Dallas Stars",0,0
428,"Edmonton Oilers","Winnipeg Jets",0,0
429,"Pittsburgh Penguins","Arizona Coyotes",0,0
430,"Montréal Canadiens","Boston Bruins",1,0
431,"Buffalo Sabres","Los Angeles Kings",0,0
432,"New York Islanders","Washington Capitals",0,0
433,"New York Rangers","Chicago Blackhawks",0,0
434,"Carolina Hurricanes","Vancouver Canucks",0,0
435,"Toronto Maple Leafs","San Jose Sharks",1,1
436,"Detroit Red Wings","Arizona Coyotes",0,0
437,"Nashville Predators","St. Louis Blues",0,0
438,"Minnesota Wild","Florida Panthers",0,0
439,"Dallas Stars","Anaheim Ducks",0,0
440,"Edmonton Oilers","Columbus Blue Jackets",0,0
441,"Ottawa Senators","San Jose Sharks",1,1
442,"Pittsburgh Penguins","Boston Bruins",1,0
443,"Calgary Flames","Tampa Bay Lightning",0,0
444,"Colorado Avalanche","Philadelphia Flyers",0,0
445,"Boston Bruins","Anaheim Ducks",0,0
446,"New York Islanders","Chicago Blackhawks",0,0
447,"Toronto Maple Leafs","Arizona Coyotes",1,1
448,"Detroit Red Wings","Los Angeles Kings",0,0
449,"St. Louis Blues","New Jersey Devils",0,0
450,"Nashville Predators","Minnesota Wild",0,0
451,"Winnipeg Jets","Florida Panthers",1,1
452,"Dallas Stars","New York Rangers",0,0
453,"Buffalo Sabres","New York Islanders",1,0
